id,catalogTitle,catalogFile,catalogPage,section,manufacturer,equipmentModel,productType,partNumber,material,buckSize,application,requiresModelNumber,quantity,notes
dc-ajax-dc-18-pro-818,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-18,Pad/Cover,PRO-818,Tan Pro-Finish 861,18 1/2 x 9 1/2,Mushroom topper,true,,Catalog lists related model number 282
dc-ajax-dc-18-rpro-818,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-18,Pad/Cover,RPRO-818,Red Pro-Finish 861,18 1/2 x 9 1/2,Mushroom topper,true,,Catalog lists related model number 282
dc-ajax-dc-18-mfhp-3,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-18,Head Plate,MFHP-3,White Master Finish,18 1/2 x 9 1/2,Mushroom topper,true,,Catalog lists related model number 282
dc-ajax-dc-18-bmfhp-3,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-18,Head Plate,BMFHP-3,Black Master Finish,18 1/2 x 9 1/2,Mushroom topper,true,,Catalog lists related model number 282
dc-ajax-dc-42-pro-842,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-42,Pad/Cover,PRO-842,Tan Pro-Finish 861,42 x 12 x 8,Utility,true,,
dc-ajax-dc-42-rpro-842,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-42,Pad/Cover,RPRO-842,Red Pro-Finish 861,42 x 12 x 8,Utility,true,,
dc-ajax-dc-42-mfhp-13,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-42,Head Plate,MFHP-13,White Master Finish,42 x 12 x 8,Utility,true,,
dc-ajax-dc-42-bmfhp-13,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-42,Head Plate,BMFHP-13,Black Master Finish,42 x 12 x 8,Utility,true,,
dc-ajax-dc-45-r-pro-845,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-45/R,Pad/Cover,PRO-845,Tan Pro-Finish 861,44 1/2 x 11 1/2 x 8,Legger,true,,Catalog lists related model number 298
dc-ajax-dc-45-r-rpro-845,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-45/R,Pad/Cover,RPRO-845,Red Pro-Finish 861,44 1/2 x 11 1/2 x 8,Legger,true,,Catalog lists related model number 298
dc-ajax-dc-45-r-mfhp-17,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-45/R,Head Plate,MFHP-17,White Master Finish,44 1/2 x 11 1/2 x 8,Legger,true,,Catalog lists related model number 298
dc-ajax-dc-45-r-bmfhp-17,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,6,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-45/R,Head Plate,BMFHP-17,Black Master Finish,44 1/2 x 11 1/2 x 8,Legger,true,,Catalog lists related model number 298
dc-ajax-dc-446-r-pro-850,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-446/R,Pad/Cover,PRO-850,Tan Pro-Finish 861,46 x 20 x 8 1/4,Legger,true,,Catalog lists related model number 799
dc-ajax-dc-446-r-rpro-850,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-446/R,Pad/Cover,RPRO-850,Red Pro-Finish 861,46 x 20 x 8 1/4,Legger,true,,Catalog lists related model number 799
dc-ajax-dc-446-r-mfhp-25,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-446/R,Head Plate,MFHP-25,White Master Finish,46 x 20 x 8 1/4,Legger,true,,Catalog lists related model number 799
dc-ajax-dc-446-r-bmfhp-25,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-446/R,Head Plate,BMFHP-25,Black Master Finish,46 x 20 x 8 1/4,Legger,true,,Catalog lists related model number 799
dc-ajax-dc-545-pro-849,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-545,Pad/Cover,PRO-849,Tan Pro-Finish 861,45 x 19 3/4 x 9,Large end,true,,
dc-ajax-dc-545-rpro-849,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-545,Pad/Cover,RPRO-849,Red Pro-Finish 861,45 x 19 3/4 x 9,Large end,true,,
dc-ajax-dc-545-mfhp-44,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-545,Head Plate,MFHP-44,White Master Finish,45 x 19 3/4 x 9,Large end,true,,
dc-ajax-dc-545-bmfhp-44,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-545,Head Plate,BMFHP-44,Black Master Finish,45 x 19 3/4 x 9,Large end,true,,
dc-ajax-dc-646-pro-850,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-646,Pad/Cover,PRO-850,Tan Pro-Finish 861,46 x 19 x 8,Legger,true,,
dc-ajax-dc-646-rpro-850,Buckeye Dry Cleaning Pads & Covers 2026,/catalogs/dry-cleaning-catalog.pdf,7,Ajax/Alliance/American/Aceco/Martin buck pads and head plates,Ajax/Alliance/American/Aceco/Martin,DC-646,Pad/Cover,RPRO-850,Red Pro-Finish 861,46 x 19 x 8,Legger,true,,
